cod_municipio_tse;uf;nome_municipio;total_eleitores;f_16;f_17;f_18_20;f_21_24;f_25_34;f_35_44;f_45_59;f_60_69;f_70_79;f_sup_79;gen_feminino;gen_masculino;gen_nao_informado
55000;MS;NOVA ALVORADA DO SUL;15743;95;186;933;1530;4093;3389;3793;1115;433;174;7624;8119;0
55018;MS;ALCINÓPOLIS;3560;42;66;205;294;747;751;911;309;187;47;1657;1903;0
55026;MS;LAGUNA CARAPÃ;4945;47;68;300;487;1178;983;1067;445;232;137;2448;2497;0
55034;MS;JAPORÃ;5736;112;135;479;597;1299;1073;1136;421;318;166;2869;2867;0
55042;MS;NOVO HORIZONTE DO SUL;4047;34;71;228;443;885;748;958;387;236;56;1970;2077;0
55050;MS;PARAÍSO DAS ÁGUAS;4082;47;68;214;330;965;888;1014;344;161;51;1919;2163;0
55069;MS;FIGUEIRÃO;2477;23;39;113;187;547;535;608;244;141;39;1155;1322;0
90034;MS;ÁGUA CLARA;11264;121;167;783;1066;2791;2480;2628;802;305;121;5385;5879;0
90115;MS;AMAMBAI;24545;122;247;1392;2346;5447;5105;5400;2261;1389;834;12865;11680;0
90131;MS;ANASTÁCIO;19009;175;262;1137;1705;3950;3680;4577;1971;1033;519;9629;9380;0
90158;MS;ANAURILÂNDIA;6574;61;89;400;594;1361;1301;1597;594;366;211;3223;3351;0
90174;MS;ANTÔNIO JOÃO;6991;74;90;402;654;1610;1339;1540;650;387;245;3617;3374;0
90190;MS;APARECIDA DO TABOADO;18029;127;220;1143;1643;3667;3639;4272;1891;955;472;9242;8787;0
90212;MS;AQUIDAUANA;34436;256;404;1989;2907;6958;6596;8016;3796;2026;1487;17598;16838;0
90298;MS;BANDEIRANTES;5703;64;84;343;482;1067;1043;1473;694;341;112;2750;2953;0
90379;MS;BATAGUASSU;17493;154;267;1084;1517;3861;3715;4324;1440;759;372;8793;8700;0
90395;MS;BATAYPORÃ;8897;62;125;547;795;1900;1734;2137;847;476;273;4490;4407;0
90417;MS;BELA VISTA;16616;154;289;1044;1679;3431;3069;3762;1576;976;635;8369;8247;0
90433;MS;BONITO;15075;122;246;919;1227;3375;3112;3649;1481;661;283;7753;7322;0
90450;MS;BRASILÂNDIA;9609;67;105;534;840;2104;2048;2317;884;429;281;4703;4906;0
90492;MS;CAMAPUÃ;11266;73;148;674;997;2238;2217;2809;1174;643;291;5444;5822;0
90514;MS;CAMPO GRANDE;595174;1186;3590;31571;53016;135413;123584;146278;58013;28228;14286;320009;275165;0
90530;MS;CARACOL;4784;90;100;311;425;1018;959;1062;422;247;150;2312;2472;0
90557;MS;CAARAPÓ;20004;158;320;1363;2042;4635;4049;4436;1604;971;425;10165;9839;0
90573;MS;CASSILÂNDIA;16625;106;185;861;1300;3111;3151;4041;2049;1224;597;8497;8128;0
90611;MS;CORGUINHO;3950;55;70;189;306;703;776;1003;494;262;92;1858;2092;0
90638;MS;CORUMBÁ;70547;282;722;4221;6979;15796;13879;16421;6664;3554;2027;36467;34080;0
90654;MS;COXIM;25216;148;269;1346;2155;5312;5140;6187;2441;1316;900;12717;12499;0
90735;MS;DOURADOS;152169;466;1213;8998;14031;34861;30757;36940;14267;6835;3797;80648;71521;0
90751;MS;FÁTIMA DO SUL;16097;120;215;902;1330;3097;2862;4212;1927;1022;409;8451;7646;0
90794;MS;GLÓRIA DE DOURADOS;7741;60;122;411;668;1508;1365;2004;889;498;216;4005;3736;0
90816;MS;GUIA LOPES DA LAGUNA;7773;58;112;439;654;1530;1454;1842;874;514;296;3966;3807;0
90859;MS;IGUATEMI;10980;100;168;636;1035;2394;2176;2532;1052;595;292;5551;5429;0
90875;MS;INOCÊNCIA;6749;96;99;373;596;1432;1379;1614;668;343;149;3195;3554;0
90891;MS;ITAPORÃ;13852;138;151;761;1185;2767;2667;3450;1404;787;542;6971;6881;0
90930;MS;IVINHEMA;18484;120;209;1127;1686;3936;3492;4697;1863;1081;273;9330;9154;0
90972;MS;JARAGUARI;4984;57;84;239;313;802;898;1459;762;305;65;2369;2615;0
90999;MS;JARDIM;18474;114;243;1091;1606;3820;3595;4401;1934;1106;564;9527;8947;0
91014;MS;JATEÍ;3861;46;61;218;332;851;783;987;344;173;66;1882;1979;0
91030;MS;LADÁRIO;13865;121;217;920;1462;3357;2805;3110;1041;531;301;6999;6866;0
91073;MS;MARACAJU;27425;169;337;1693;2733;6612;5644;6352;2256;1061;567;13777;13648;0
91111;MS;MIRANDA;19573;230;360;1231;1804;4420;4026;4311;1783;898;509;9746;9827;0
91138;MS;NAVIRAÍ;36024;175;416;2155;3322;8417;7655;8756;2861;1481;784;18594;17430;0
91154;MS;NIOAQUE;10711;105;172;632;1013;2251;2068;2593;1051;539;286;5130;5581;0
91235;MS;NOVA ANDRADINA;33434;172;341;1847;2799;7269;7091;8388;3118;1549;858;17218;16216;0
91251;MS;PARANAÍBA;30875;138;315;1624;2509;6107;5830;7714;3603;1918;1116;15946;14929;0
91278;MS;PEDRO GOMES;6288;57;95;337;533;1222;1115;1588;626;424;291;3056;3232;0
91316;MS;PONTA PORÃ;60818;329;703;3773;5973;13797;11794;14107;5651;2916;1774;32163;28655;0
91375;MS;PORTO MURTINHO;8731;110;187;584;953;2074;1672;1892;665;405;189;4158;4573;0
91413;MS;RIBAS DO RIO PARDO;14451;118;228;1023;1498;3373;2977;3471;1191;451;121;7037;7414;0
91430;MS;RIO BRILHANTE;25180;191;355;1586;2400;6383;5428;5668;1902;883;384;12596;12584;0
91456;MS;RIO NEGRO;4108;25;45;195;313;745;792;1088;437;339;129;2006;2102;0
91472;MS;RIO VERDE DE MATO GROSSO;14410;80;164;703;1222;3031;2840;3610;1630;743;387;7336;7074;0
91499;MS;ROCHEDO;4301;41;56;269;326;858;864;1098;456;254;79;2086;2215;0
91570;MS;SIDROLÂNDIA;29595;207;464;1997;2821;6582;5896;7310;2955;1133;226;14924;14671;0
91596;MS;TERENOS;13016;110;196;695;1059;2613;2544;3355;1425;736;283;6322;6694;0
91650;MS;TRÊS LAGOAS;75844;214;602;4538;6913;17393;15360;18159;7163;3606;1895;39702;36141;1
91693;MS;ANGÉLICA;8226;87;138;501;716;1927;1610;1994;698;403;152;4014;4212;0
91715;MS;ARAL MOREIRA;6859;88;106;437;736;1623;1321;1457;551;322;218;3470;3389;0
91731;MS;ELDORADO;9197;77;97;515;926;1994;1805;2224;783;516;260;4815;4382;0
91758;MS;DEODÁPOLIS;10035;89;148;629;930;2171;1816;2441;1012;548;251;5058;4977;0
91782;MS;CHAPADÃO DO SUL;15293;74;158;921;1481;4021;3437;3763;985;337;116;7500;7793;0
91790;MS;MUNDO NOVO;14001;108;167;822;1323;2872;2651;3444;1506;794;314;7498;6503;0
91804;MS;DOIS IRMÃOS DO BURITI;8276;82;141;517;819;1699;1516;1937;782;476;307;3993;4283;0
91820;MS;JUTI;5261;72;91;394;514;1135;1012;1177;452;301;112;2634;2627;0
91847;MS;PARANHOS;8040;100;132;577;910;1855;1529;1557;675;410;295;4206;3834;0
91863;MS;SANTA RITA DO PARDO;4904;52;66;318;413;993;1058;1144;460;272;127;2352;2552;0
91880;MS;SONORA;11385;126;197;806;1129;2921;2521;2599;694;310;80;5508;5877;0
91901;MS;VICENTINA;5393;69;82;317;426;992;979;1475;601;342;110;2699;2694;0
98019;MS;BODOQUENA;6777;74;103;390;590;1473;1380;1595;648;336;188;3305;3472;0
98035;MS;COSTA RICA;18470;182;269;1129;1813;4648;3987;4017;1464;707;251;9063;9407;0
98051;MS;DOURADINA;4204;64;57;271;371;898;793;1038;410;224;78;2117;2087;0
98078;MS;ITAQUIRAÍ;14038;94;191;877;1283;2809;2871;3463;1380;709;361;6890;7148;0
98094;MS;SÃO GABRIEL DO OESTE;18928;108;172;1029;1691;4639;3976;4621;1687;694;311;9564;9364;0
98116;MS;SELVÍRIA;6466;101;123;410;592;1336;1300;1549;565;331;159;3172;3294;0
98132;MS;SETE QUEDAS;7365;70;82;393;729;1398;1326;1782;891;497;197;3858;3507;0
98159;MS;TACURU;7134;72;123;417;741;1671;1394;1612;541;371;192;3586;3548;0
98175;MS;TAQUARUSSU;3193;41;58;169;281;668;658;772;292;168;86;1594;1599;0
98590;MS;CORONEL SAPUCAIA;10214;85;143;677;1031;2337;1974;2116;870;561;419;5519;4695;0
